,Actor,Count,Rank
929,阿卡塞尔·亨涅,1,3
930,陈数,1,3
931,高雄,1,3
932,本尼迪克特·王,4,3
933,麦肯兹·戴维斯,1,3
934,娜奥米·斯科特,1,3
935,丽丽·博尔丹,1,3
936,布莱恩·卡斯佩,2,3
937,伊万·麦克格雷格,3,3
938,阿尔伯特·芬尼,3,3
939,比利·克鲁德普,1,3
940,杰西卡·兰格,1,3
941,海伦娜·伯翰·卡特,10,3
942,艾莉森·洛曼,1,3
943,罗伯特·吉尔劳姆,1,3
944,马修·麦克格罗里,1,3
945,大卫·丹曼,1,3
946,米西·派勒,4,3
947,卢顿·万恩怀特三世,1,3
948,艾达·泰,1,3
949,艾伦妮·泰,1,3
950,丹尼·德维托,2,3
951,迪普·罗伊,3,3
952,海利·安妮·内尔森,1,3
953,宋芸桦,1,3
954,王大陆,1,3
955,李玉玺,1,3
956,简廷芮,1,3
957,言承旭,1,3
958,曲家瑞,1,3
959,屈中恒,1,3
960,钟欣凌,1,3
961,许杰辉,1,3
962,蔡颐榛,1,3
963,郭文颐,1,3
964,石知田,1,3
965,那维勋,1,3
966,林鹤轩,1,3
967,陈彦允,1,3
968,张立东,1,3
969,郑茵声,1,3
970,李绍祥,1,3
971,丹尼尔·雷德克里夫,7,3
972,鲁伯特·格林特,7,3
973,艾伦·瑞克曼,10,3
974,玛吉·史密斯,7,3
975,汤姆·费尔顿,7,3
976,伊恩·哈特,1,3
977,理查德·哈里斯,3,3
978,约翰·赫特,5,3
979,罗彼·考特拉尼,2,3
980,朱丽·沃特斯,8,3
981,邦妮·怀特,7,3
982,约翰·克立斯,2,3
983,肖恩·比格斯代夫,2,3
984,詹妮弗·康纳利,3,3
985,杰曼·翰苏,5,3
986,大卫·哈雷伍德,1,3
987,阿诺德·沃斯洛,1,3
988,赵薇,9,3
989,费翔,1,3
990,陈廷嘉,1,3
991,希亚·拉博夫,3,3
992,泰瑞斯·吉布森,6,3
993,乔什·杜哈明,3,3
994,安东尼·安德森,1,3
995,梅根·福克斯,2,3
996,瑞切尔·泰勒,1,3
997,约翰·特托罗,2,3
998,强·沃特,4,3
999,迈克尔·奥尼尔,1,3
1000,凯文·杜恩KevinDunn,1,3
1001,朱丽叶·怀特,2,3
1002,宝拉·巴顿,2,3
1003,乔什·哈洛威,1,3
1004,迈克尔·恩奎斯特,1,3
1005,亚尼·卡普,2,3
1006,弗拉基米尔·马什科夫,1,3
1007,比尔·奈伊,6,3
1008,肯尼思·布拉纳,2,3
1009,尼克·弗罗斯特,2,3
1010,汤姆·斯图里奇,1,3
1011,瑞斯·达比,1,3
1012,克里斯·奥多德,2,3
1013,妲露拉·莱莉,2,3
1014,潘迪华,3,3
1015,张耀扬,3,3
1016,钱似莺,1,3
1017,顾锦华,1,3
1018,克里斯托弗·普卢默,5,3
1019,埃琳诺·帕克,1,3
1020,理查德·海顿,1,3
1021,佩吉·伍德,1,3
1022,查尔敏·卡尔,1,3
1023,HeatherMenzies,1,3
1024,尼古拉斯·哈蒙德,1,3
1025,DuaneChase,1,3
1026,安吉拉·卡特怀特,1,3
1027,DebbieTurner,1,3
1028,KymKarath,1,3
1029,安娜·李,1,3
1030,PortiaNelson,1,3
1031,本·怀特,1,3
1032,DanielTruhitte,1,3
1033,诺玛·威登,1,3
1034,GilchristStuart,1,3
1035,MarniNixon,1,3
1036,EvadneBaker,1,3
1037,多丽丝·劳埃德,1,3
1038,山口胜平,2,3
1039,加藤清史郎,1,3
1040,原田知世,1,3
1041,別所哲也,1,3
1042,艾米·亚当斯,4,3
1043,迈克尔·斯图巴,4,3
1044,马志,1,3
1045,马克·奥布莱恩,1,3
1046,派特·凯利,1,3
1047,娜塔莉·希波蒂,1,3
1048,袁罗素,2,3
1049,克里斯蒂安·杰达,1,3
1050,朱利安·凯西,1,3
1051,崔维斯·费米尔,1,3
1052,托比·凯贝尔,4,3
1053,本·福斯特,2,3
1054,鲁丝·内伽,1,3
1055,克兰西·布朗,2,3
1056,丹尼尔·库德摩尔,2,3
1057,罗伯特·卡辛斯基,2,3
1058,本·施耐泽,1,3
1059,格伦·克洛斯,2,3
1060,考乐姆·吉斯·雷尼,3,3
1061,泰瑞·诺塔里,3,3
1062,瑞安·罗宾斯,1,3
1063,博尔克利·杜菲尔德,1,3
1064,丹·佩恩,1,3
1065,迪伦·肖明,1,3
1066,唐尼·麦克尼尔,1,3
1067,迈克·安东纳科斯,1,3
1068,拉吉·拉尔,1,3
1069,徐峥,10,3
1070,黄渤,10,3
1071,余男,4,3
1072,多布杰,2,3
1073,王双宝,1,3
1074,巴多,1,3
1075,杨新鸣,2,3
1076,郭虹,1,3
1077,陶虹,5,3
1078,曾江,3,3
1079,叶璇,1,3
1080,黄奕,1,3
1081,刘浩龙,1,3
1082,胡枫,2,3
1083,骆应钧,2,3
1084,江毅,1,3
1085,焦姣,1,3
1086,郭锋,1,3
1087,林迪安,2,3
1088,邹凯光,2,3
1089,方中信,5,3
1090,钟均呈,1,3
1091,莫文蔚,7,3
1092,张柏芝,3,3
1093,陈国坤,2,3
1094,莫美林,1,3
1095,林子善,3,3
1096,李卉,1,3
1097,谷德昭,8,3
1098,阿比盖尔·布蕾斯琳,1,3
1099,托妮·科莱特,3,3
1100,格雷戈·金尼尔,1,3
1101,保罗·达诺,2,3
1102,艾伦·阿金,3,3
1103,布莱恩·科兰斯顿,3,3
1104,迪恩·诺里斯,1,3
1105,狄龙,1,3
1106,田丰,2,3
1107,吴宇森,1,3
1108,成奎安,1,3
1109,加里·奥德曼,9,3
1110,拉尔夫·费因斯,7,3
1111,迈克尔·刚本,5,3
1112,艾玛·汤普森,5,3
1113,艾美达·斯丹顿,2,3
1114,詹森·艾萨克,3,3
1115,梁佩诗,2,3
1116,布莱丹·格里森,2,3
1117,伊文娜·林奇,3,3
1118,松田洋治,2,3
1119,石田百合子,1,3
1120,田中裕子,1,3
1121,小林薰,2,3
1122,西村雅彦,1,3
1123,上条恒彦,1,3
1124,岛本须美,3,3
1125,佐藤允,1,3
1126,名古屋章,1,3
1127,森光子,1,3
1128,森繁久弥,1,3
1129,汤姆·汉克斯,10,3
1130,哈莉·贝瑞,5,3
1131,吉姆·斯特吉斯,2,3
1132,本·卫肖,2,3
1133,詹姆斯·达西,1,3
1134,凯斯·大卫,2,3
1135,大卫·吉雅西,2,3
1136,苏珊·萨兰登,1,3
1137,艾文·布莱纳,3,3
1138,约翰尼·李·米勒,1,3
1139,凯文·麦克基德,1,3
1140,罗伯特·卡莱尔,1,3
1141,凯莉·麦克唐纳,2,3
1142,彼得·穆兰,2,3
1143,詹姆斯·卡沙莫,2,3
1144,艾琳·尼古拉斯,1,3
1145,苏珊·维德勒,1,3
1146,波林·林奇,1,3
1147,斯图尔特·麦克奎里,1,3
1148,埃文·威尔什,1,3
1149,戴尔·温顿,1,3
1150,基思·艾伦,2,3
1151,凯文·艾伦,1,3
1152,芬利·威尔士,1,3
1153,约翰·霍奇,1,3
1154,汤姆·德尔玛,1,3
1155,凯特·哈德森,2,3
1156,吉娜·罗兰兹,2,3
1157,彼得·萨斯加德,2,3
1158,乔伊·布赖恩特,1,3
1159,麦克辛·巴内特,1,3
1160,法隆尼·R·哈里斯,1,3
1161,马龙·泽瑟,1,3
1162,安·达芮普,1,3
1163,迪内·泰勒,1,3
1164,楚拉·M·马库斯,1,3
1165,松雅·斯塔森,1,3
1166,托马斯·尤斯卡利,1,3
1167,JenApgar,1,3
1168,弗里斯特·兰蒂斯,1,3
1169,基努·里维斯,3,3
1170,劳伦斯·菲什伯恩,4,3
1171,凯瑞-安·莫斯,4,3
1172,凯特·宾汉,1,3
1173,邹兆龙,4,3
1174,朗贝尔·维尔森,2,3
1175,本·阿弗莱克,6,3
1176,凯尔·钱德勒,3,3
1177,约翰·古德曼,4,3
1178,克里·杜瓦尔,2,3
1179,罗利·科奇瑞恩,1,3
1180,维克多·加博,4,3
1181,凯瑞·碧许,1,3
1182,泰特·多诺万,1,3
1183,克里斯·梅西纳,1,3
1184,卡梅隆·迪亚兹,2,3
1185,彼得·里格特,1,3
1186,彼得·格林纳,1,3
1187,艾米·雅丝贝克,1,3
1188,凯瑞·穆里根,2,3
1189,艾拉·菲舍尔,2,3
1190,乔尔·埃哲顿,1,3
1191,卡兰·麦克奥利菲,2,3
1192,阿米达普·巴强,1,3
1193,杰森·克拉科,2,3
1194,伊丽莎白·德比茨基,2,3
1195,嘉玛·沃德,2,3
1196,王力宏,1,3
1197,庹宗华,1,3
1198,朱芷莹,1,3
1199,柯宇纶,2,3
1200,阮德锵,1,3
1201,高英轩,1,3
1202,钱嘉乐,2,3
1203,何赛飞,1,3
1204,宋茹惠,1,3
1205,苏岩,1,3
1206,卢燕,3,3
1207,樊光耀,2,3
1208,黎明,3,3
1209,杨恭如,1,3
1210,曾志伟,6,3
1211,杜可风,1,3
1212,张同祖,2,3
1213,诸慧荷,1,3
1214,丁羽,1,3
1215,吴念真,1,3
1216,李凯莉,1,3
1217,张洋洋,1,3
1218,萧淑慎,1,3
1219,尾形一成,1,3
1220,陈希圣,1,3
1221,林孟瑾,1,3
1222,陈以文,1,3
1223,张育邦,1,3
1224,柯素云,1,3
1225,唐如韫,1,3
1226,徐淑媛,1,3
1227,曾心怡,1,3
1228,陶传正,1,3
1229,沈恩京,2,3
1230,闵孝琳,1,3
1231,姜素拉,1,3
1232,南宝拉,1,3
1233,陈熙京,1,3
1234,金时厚,1,3
1235,柳好贞,1,3
1236,朴真珠,1,3
1237,金甫美,1,3
1238,千禹熙,1,3
1239,李璟荣,2,3
1240,戚玉武,1,3
1241,晋松,1,3
1242,梁家豪,1,3
1243,肖聪,2,3
1244,叶尔江·马合甫什,1,3
1245,谭安业,1,3
1246,张灏,1,3
1247,闻洋,1,3
1248,赵长洲,1,3
1249,李奇龙,1,3
1250,曲大雷,1,3
1251,向恬冉,1,3
1252,韩振华,1,3
1253,金粮,1,3
1254,戴小轶,1,3
1255,陈敏渝,1,3
1256,王巧玉,1,3
1257,李冰冰,5,3
1258,王志文,3,3
1259,苏有朋,1,3
1260,石兆琪,3,3
1261,段奕宏,4,3
1262,朱旭,1,3
1263,刘威葳,1,3
1264,张一白,3,3
1265,吴刚,3,3
1266,邓家佳,2,3
1267,刘芸,1,3
1268,爱戴,1,3
1269,汤姆·塞兹摩尔,1,3
1270,爱德华·伯恩斯,1,3
1271,巴里·佩珀,1,3
1272,亚当·戈德堡,2,3
1273,范·迪塞尔,8,3
1274,杰瑞米·戴维斯,1,3
1275,特德·丹森,1,3
1276,丹尼斯·法里纳,1,3
1277,马克斯·马蒂尼,2,3
1278,丹兰·布鲁诺,1,3
1279,市原隼人,1,3
1280,忍成修吾,1,3
1281,大泽隆夫,2,3
1282,市川实和子,1,3
1283,稻森泉,1,3
1284,苍井优,2,3
1285,松田一沙,1,3
1286,胜地凉,1,3
1287,马场乔子,1,3
1288,伊藤友树,1,3
1289,郭智博,2,3
1290,笠原秀幸,1,3
1291,冈村麻纯,1,3
1292,杉本哲太,1,3
1293,田中要次,3,3
1294,樋口真嗣,1,3
1295,细山田隆人,1,3
1296,阿诺·施瓦辛格,2,3
1297,琳达·汉密尔顿,1,3
1298,爱德华·福隆,1,3
1299,罗伯特·帕特里克,1,3
1300,阿尔·伯恩,1,3
1301,乔·莫顿,1,3
1302,埃帕莎·默克森,1,3
1303,卡斯图罗·格雷拉,1,3
1304,丹尼·库克塞,1,3
1305,詹妮特·戈德斯坦恩,1,3
1306,山德·贝克利,2,3
1307,莱思莉·汉密尔顿·格伦,1,3
1308,杰瑞米·艾文,1,3
1309,艾米丽·沃森,2,3
1310,大卫·休里斯,4,3
1311,尼尔斯·阿雷斯特吕普,1,3
1312,席琳·邦金斯,1,3
1313,大卫·克劳斯,2,3
1314,帕特里克·肯尼迪,2,3
1315,海利·乔·奥斯蒙,3,3
1316,弗兰西丝·奥康纳,1,3
1317,山姆·洛巴兹,2,3
1318,杰克·托马斯,1,3
1319,威廉·赫特,3,3
1320,肯·梁,1,3
1321,汤姆·加洛普,2,3
1322,EugeneOsment,1,3
1323,艾普尔·格雷斯,1,3
1324,马特·温斯顿,1,3
1325,萨布丽娜·格德维奇,1,3
1326,TheoGreenly,1,3
1327,钟楚红,1,3
1328,朱江,1,3
1329,唐宁,1,3
1330,邓一君,1,3
1331,马修·麦康纳,3,3
1332,詹妮弗·加纳,4,3
1333,杰瑞德·莱托,2,3
1334,史蒂夫·茨恩,1,3
1335,达拉斯·罗伯特斯,1,3
1336,凯文·兰金,1,3
1337,丹尼斯·欧哈拉,1,3
1338,简·麦克尼尔,1,3
1339,格里芬·邓恩,1,3
1340,詹姆斯·杜蒙特,1,3
1341,朱丽叶·里夫斯,1,3
1342,斯蒂菲·格罗特,1,3
1343,J·D·埃弗摩尔,1,3
1344,梁家辉,9,3
1345,泰迪·罗宾,1,3
1346,吴耀汉,2,3
1347,姚橹,2,3
1348,刘金山,1,3
1349,马今,1,3
1350,张敏,4,3
1351,徐少强,1,3
1352,林威,2,3
1353,陈百祥,3,3
1354,郑丹瑞,2,3
1355,苑琼丹,6,3
1356,陈慧仪,1,3
1357,伊莎贝拉·弗尔曼,2,3
1358,希·庞德,2,3
1359,吉米·本内特,1,3
1360,玛格·马丁戴尔,1,3
1361,卡瑞尔·罗登,2,3
1362,阿娅娜·恩吉妮尔,1,3
1363,萝丝玛丽·邓斯莫尔,1,3
1364,杰米·杨,1,3
1365,LorryAyers,1,3
1366,BrendanWall,1,3
1367,盖内尔·威廉姆斯,1,3
1368,MustafaAbdelkarim,1,3
1369,LandonNorris,1,3
1370,张学友,5,3
1371,邱淑贞,1,3
1372,刘松仁,1,3
1373,袁洁莹,1,3
1374,温兆伦,1,3
1375,陈德容,1,3
1376,景甜,1,3
1377,佩德罗·帕斯卡,1,3
1378,鹿晗,3,3
1379,郑恺,5,3
1380,黄轩,1,3
1381,余心恬,1,3
1382,刘冰,1,3
1383,李亨,1,3
1384,李京沐,1,3
1385,纽曼·阿卡,1,3
1386,约翰尼·希科,1,3
1387,皮鲁·埃斯贝克,2,3
1388,周冬雨,4,3
1389,隋凯,1,3
1390,王啸坤,1,3
1391,龚格尔,1,3
1392,李岷城,1,3
1393,赵思园,1,3
1394,曹阳,1,3
1395,张子枫,3,3
1396,李砚,1,3
1397,杜扬,1,3
1398,周浩东,1,3
1399,姜志刚,1,3
1400,张小北,1,3
1401,孙德元,1,3
1402,凯伦·阿姆斯特朗,1,3
1403,约翰·布埃诺,1,3
1404,大卫·肯尼斯·沃恩,1,3
1405,迈克尔·J·吉拉普,1,3
1406,奈津子,1,3
1407,Danvanwert,1,3
1408,Dankern,1,3
1409,赵泽文,1,3
1410,冯千卉,1,3
1411,陈一榕,1,3
1412,铃木杏,2,3
1413,钟镇涛,2,3
1414,陈冠希,4,3
1415,余文乐,6,3
1416,陈小春,2,3
1417,津村和幸,1,3
1418,阿部力,1,3
1419,田中千绘,3,3
1420,刘畊宏,1,3
1421,丹尼尔·克雷格,1,3
1422,鲁妮·玛拉,3,3
1423,史蒂文·伯克夫,2,3
1424,罗宾·怀特,3,3
1425,约里克·范·韦杰宁根,1,3
1426,乔莉·理查德森,1,3
1427,高兰·维斯耶克,1,3
1428,唐纳德·桑普特,1,3
1429,乌尔夫·弗里贝格,1,3
1430,本基特·卡尔森,1,3
1431,托尼·威,2,3
1432,帕尔·麦尔伯格,1,3
1433,约瑟芬·阿斯普伦德,1,3
1434,EvaFritjofson,1,3
1435,莫娅·嘉尔彭铎,1,3
1436,MayaHansson-Bergqvist,1,3
1437,SarahAppelberg,1,3
1438,朱利安·山德斯,1,3
1439,AnnaBj?rk,1,3
1440,古斯塔夫·汉马斯顿,1,3
1441,SimonReithner,1,3
1442,大卫·丹席克,1,3
1443,MarcusJohansson,1,3
1444,MathildavonEssen,1,3
1445,MathiasPalmér,1,3
1446,马丁·贾维斯,2,3
1447,因加·朗格里,1,3
1448,安德尔斯·伯格,1,3
1449,MatsAndersson,1,3
1450,JürgenKlein,1,3
1451,雅丽·乔维尔,1,3
1452,阿兰·戴尔,2,3
1453,LenaStr?mdahl,1,3
1454,里奥·比尔,2,3
1455,FredrikDolk,1,3
1456,艾洛蒂·袁,1,3
1457,乔尔·金纳曼,1,3
1458,KarenE.Wright,1,3
1459,理查德·格雷弗斯,3,3
1460,费奥纳·肖,2,3
1461,克里斯·兰金,1,3
1462,克里斯蒂安·库尔森,1,3
1463,蒂姆·艾伦,2,3
1464,琼·库萨克,1,3
1465,尼德·巴蒂,1,3
1466,唐·里克斯,2,3
1467,迈克尔·基顿,3,3
1468,榊原良子,1,3
1469,辻村真人,1,3
1470,京田尚子,1,3
1471,纳谷悟郎,1,3
1472,宫内幸平,1,3
1473,八奈见乘儿,1,3
1474,矢田稔,1,3
1475,富永美伊奈,1,3
1476,家弓家正,1,3
1477,吉田理保子,1,3
1478,菅谷政子,1,3
1479,坂本千夏,2,3
1480,麦人,1,3
1481,大塚芳忠,1,3
1482,河正宇,1,3
1483,全慧珍,1,3
1484,李大为,1,3
1485,娜奥米·沃茨,3,3
1486,杰克·布莱克,5,3
1487,托马斯·克莱舒曼,4,3
1488,科林·汉克斯,1,3
1489,安迪·瑟金斯,10,3
1490,伊万·帕克,1,3
1491,杰米·贝尔,2,3
1492,洛博·陈,1,3
1493,约翰·萨莫尔,2,3
1494,克里格·霍尔,1,3
1495,威廉·约翰逊,1,3
1496,马克·哈德洛,2,3
1497,杰拉丁·博若飞,1,3
1498,大卫·皮图,1,3
1499,克里斯汀·斯科特·托马斯,2,3
1500,朱丽叶·比诺什,2,3
1501,纳威恩·安德利维斯,1,3
1502,朱丽娅·斯蒂尔斯,4,3
1503,大卫·斯特雷泽恩,2,3
1504,帕迪·康斯戴恩,1,3
1505,埃德加·拉米雷兹,1,3
1506,琼·艾伦,6,3
1507,TomGallop,1,3
1508,克里·约翰逊,1,3
1509,丹尼尔·布鲁尔,3,3
1510,乔伊·安沙,1,3
1511,丹·弗雷登堡,1,3
1512,LucyLiemann,1,3
1513,李亚鹏,1,3
1514,徐静蕾,2,3
1515,王学兵,3,3
1516,何洁,1,3
1517,程伊,2,3
1518,崔达治,1,3
1519,优恵,2,3
1520,陈明,1,3
1521,冯瓅,1,3
1522,王芸,1,3
1523,曹卫宇,3,3
1524,佟丽娅,4,3
1525,韩庚,4,3
1526,陈晓,1,3
1527,谢苗,1,3
1528,吴旭东,2,3
1529,海一天,1,3
1530,张立,1,3
1531,释彦能,4,3
1532,孙蛟龙,1,3
1533,程思寒,2,3
1534,元武,1,3
1535,肖轶,1,3
1536,王尧,1,3
1537,杨一威,2,3
1538,罗伯特·德尼罗,3,3
1539,詹姆斯·伍兹,1,3
1540,伊丽莎白·麦戈文,1,3
1541,乔·佩西,2,3
1542,波特·杨,1,3
1543,塔斯黛·韦尔德,1,3
1544,特里特·威廉斯,1,3
1545,丹尼·爱罗,2,3
1546,詹姆斯·海登,1,3
1547,威廉·弗西斯,2,3
1548,达兰妮·弗鲁格,1,3
1549,拉里·拉普,1,3
1550,理查德·弗让吉,1,3
1551,罗伯特·哈珀,1,3
1552,查德维克·博斯曼,1,3
1553,保罗·贝坦尼,9,3
1554,伊丽莎白·奥尔森,2,3
1555,艾米丽·万凯普,2,3
1556,弗兰克·格里罗,3,3
1557,霍普·戴维斯,2,3
1558,玛丽莎·托梅,1,3
1559,吉姆·拉什,1,3
1560,金世佳,1,3
1561,马克·斯特朗,4,3
1562,包贝尔,4,3
1563,杜鹃,4,3
1564,葛民辉,2,3
1565,李灿森,3,3
1566,潘虹,1,3
1567,赵有亮,1,3
1568,朱媛媛,1,3
1569,王迅,4,3
1570,冯勉恒,3,3
1571,王晶,2,3
1572,叶竞生,1,3
1573,林晓峰,2,3
1574,车保罗,1,3
1575,江约诚,2,3
1576,林路迪,1,3
1577,詹瑞文,2,3
1578,庄思敏,1,3
1579,艾伦·佩吉,5,3
1580,吴珊卓,2,3
1581,OdessaRae,1,3
1582,G.J.Echternkamp,1,3
1583,伊萨克·亨普斯特德-怀特,1,3
1584,查尔斯·丹斯,2,3
1585,约翰·C·布莱德利,1,3
1586,罗恩·多纳基,1,3
1587,伊恩·麦克尔希尼,1,3
1588,米歇尔·费尔利,3,3
1589,艾米莉亚·克拉克,1,3
1590,伊恩·格雷,1,3
1591,基特·哈灵顿,2,3
1592,尼古拉·科斯特-瓦尔道,1,3
1593,吉姆·法尼,1,3
1594,罗宾·威廉姆斯,4,3
1595,迪克·范·戴克,1,3
1596,米基·鲁尼,1,3
1597,比尔·考布斯,1,3
1598,杰克·切里,1,3
1599,瑞奇·热维斯,2,3
1600,基姆·瑞弗,1,3
1601,派崔克·盖勒,1,3
1602,詹姆斯·斯派德,1,3
1603,亚伦·泰勒-约翰逊,2,3
1604,寇碧·史莫德斯,3,3
1605,朱莉·德尔佩,3,3
1606,亨利·古德曼,1,3
1607,多米尼克·普罗沃斯特-切克利,1,3
1608,艾萨克·安德鲁斯,1,3
1609,凯文·史派西,3,3
1610,安妮特·贝宁,1,3
1611,索拉·伯奇,1,3
1612,米娜·苏瓦丽,1,3
1613,克里斯·库珀,2,3
1614,韦斯·本特利,3,3
1615,彼得·盖勒,1,3
1616,艾莉森·珍妮,4,3
1617,斯科特·巴库拉,1,3
1618,巴里·德尔·舍曼,1,3
1619,徐娇,1,3
1620,姚文雪,1,3
1621,格洛丽亚·福斯特,2,3
1622,佐仓绫音,1,3
1623,内山昂辉,1,3
1624,扎克·埃夫隆,1,3
1625,莱斯利·曼恩,1,3
1626,托马斯·列农,3,3
1627,TylerSteelman,1,3
1628,艾莉森·米勒,1,3
1629,斯特林·奈特,1,3
1630,米歇尔·崔切伯格,1,3
1631,亚当·格雷戈里,1,3
1632,亨特·帕瑞施,1,3
1633,MarioCassem,1,3
1634,卡特琳娜·格兰厄姆,1,3
1635,TiyaSircar,1,3
1636,梅罗拉·哈丁,1,3
1637,大冢匡将,1,3
1638,艾德·哈里斯,5,3
1639,奥克塔维亚·斯宾瑟,2,3
1640,卢克·帕斯夸尼洛,1,3
1641,弗拉德·伊凡诺夫,1,3
1642,RichardMcCabe,1,3
1643,詹姆斯·德雷福斯,1,3
1644,吉娜·麦基,1,3
1645,窦骁,3,3
1646,奚美娟,1,3
1647,李雪健,2,3
1648,姜瑞佳,1,3
1649,于新博,1,3
1650,萨日娜,1,3
1651,成泰燊,1,3
1652,吕丽萍,1,3
1653,孙海英,2,3
1654,王劲松,1,3
1655,马尔科姆·麦克道威尔,1,3
1656,帕特里克·马基,1,3
1657,迈克尔·贝茨,1,3
1658,沃伦·克拉克,1,3
1659,约翰·克莱夫,1,3
1660,蒂姆·罗宾斯,2,3
1661,摩根·弗里曼,10,3
1662,鲍勃·冈顿,1,3
1663,吉尔·贝罗斯,1,3
1664,马克·罗斯顿,1,3
1665,詹姆斯·惠特摩,1,3
1666,杰弗里·德曼,1,3
1667,拉里·布兰登伯格,1,3
1668,尼尔·吉恩托利,1,3
1669,布赖恩·利比,1,3
1670,大卫·普罗瓦尔,1,3
1671,约瑟夫·劳格诺,1,3
1672,祖德·塞克利拉,2,3
1673,彼得·阿佩尔,1,3
1674,迈克尔·巴达鲁科,1,3
1675,艾伦·格里尼,1,3
1676,伊丽莎白·瑞根,1,3
1677,卡尔·马图斯维奇,1,3
1678,弗兰克·赛格,1,3
1679,麦温,2,3
1680,乔治·马丁,2,3
1681,罗伯特·拉萨多,1,3
1682,亚当·布斯奇,1,3
1683,马里奥·托迪斯科,1,3
1684,萨米·纳塞利,1,3
1685,蒋雯丽,3,3
1686,吴大维,3,3
1687,吕齐,1,3
1688,雷汉,1,3
1689,尹治,1,3
1690,马明威,1,3
1691,费振翔,1,3
1692,智一桐,1,3
1693,李春,1,3
1694,赵海龙,1,3
1695,李丹,1,3
1696,童弟,1,3
1697,沈慧芬,1,3
1698,郑雨盛,1,3
1699,李成宰,1,3
1700,姜大卫,1,3
1701,季冠霖,1,3
1702,苏尚卿,1,3
1703,许魏洲,1,3
1704,杨婷,1,3
1705,潘淑兰,1,3
1706,九儿,1,3
1707,王德顺,2,3
1708,张媛媛,1,3
1709,薛立方,1,3
1710,姜广涛,1,3
1711,阿杰,1,3
1712,马正阳,1,3
1713,宝木中阳,1,3
1714,刘校妤,1,3
1715,普路特·泰勒·文斯,1,3
1716,梅兰尼·蒂埃里,1,3
1717,阿尔贝托·巴斯克斯,1,3
1718,刘玉玲,6,3
1719,达丽尔·汉纳,2,3
1720,大卫·卡拉丁,2,3
1721,迈克尔·马德森,2,3
1722,朱莉·德赖弗斯,1,3
1723,栗山千明,1,3
1724,千叶真一,1,3
1725,迈克尔·帕克斯,2,3
1726,迈克尔·鲍文,1,3
1727,国村隼,1,3
1728,大叶健二,1,3
1729,风祭由纪,1,3
1730,阿米尔·汗,3,3
1731,卡琳娜·卡普尔,1,3
1732,马达范,1,3
1733,沙尔曼·乔希,1,3
1734,奥米·瓦依达,1,3
1735,博曼·伊拉尼,2,3
1736,莫娜·辛格,1,3
1737,拉杰夫·拉宾德拉纳特安,1,3
1738,熊欣欣,2,3
1739,刘洵,4,3
1740,任世官,1,3
1741,吴启华,2,3
1742,袁祥仁,3,3
1743,魏忠威,1,3
1744,郑希怡,1,3
1745,王彤川,1,3
1746,叶德娴,1,3
1747,秦海璐,3,3
1748,秦沛,5,3
1749,王馥荔,1,3
1750,朱慧敏,1,3
1751,江美仪,1,3
1752,罗兰,2,3
1753,谭炳文,1,3
1754,宫雪花,1,3
1755,于冬,1,3
1756,艾莉丝·布拉加,2,3
1757,CharlieTahan,1,3
1758,达什·米霍克,2,3
1759,莎莉·理查德森,1,3
1760,盖·皮尔斯,4,3
1761,格温妮斯·帕特洛,5,3
1762,丽贝卡·豪尔,2,3
1763,乔恩·费儒,3,3
1764,詹姆斯·戴尔,1,3
1765,伊芳·齐玛,1,3
1766,泰·辛普金斯,2,3
1767,阿什利·汉弥尔顿,1,3
1768,吴倩莲,1,3
1769,杨贵媚,1,3
1770,王渝文,1,3
1771,郎雄,3,3
1772,张艾嘉,2,3
1773,归亚蕾,3,3
1774,赵文瑄,2,3
1775,陈昭荣,1,3
1776,玛德琳·卡罗尔,1,3
1777,瑞贝卡·德·莫妮,1,3
1778,安东尼·爱德华兹,1,3
1779,约翰·马奥尼,1,3
1780,佩内洛普·安·米勒,1,3
1781,凯文·韦斯曼,1,3
1782,摩根·莉莉,4,3
1783,肖恩·哈珀,1,3
1784,瑞安·克茨纳,1,3
1785,吉莉安·普法夫,1,3
1786,迈克尔·博萨,1,3
1787,博·勒纳,1,3
1788,杰奎琳·埃沃拉,1,3
1789,泰勒·格鲁秀斯,1,3
1790,薇诺娜·瑞德,2,3
1791,黛安·韦斯特,1,3
1792,安东尼·迈克尔·豪尔,1,3
1793,凯西·贝克,1,3
1794,罗伯特·奥利维里,1,3
1795,康查塔·费雷尔,1,3
1796,卡罗琳·阿隆,2,3
1797,迪克·安东尼·威廉姆斯,1,3
1798,澳澜·琼斯,1,3
1799,文森特·普莱斯,1,3
1800,苏珊·布洛马特,1,3
1801,LindaPerri,1,3
1802,约翰·戴维森,1,3
1803,陈妍希,2,3
1804,敖犬,1,3
1805,郝劭文,1,3
1806,蔡昌宪,2,3
1807,鄢胜宇,1,3
1808,弯弯,1,3
1809,邱彦翔,1,3
1810,王彩桦,1,3
1811,柯义浤,1,3
1812,黄逸祥,1,3
1813,李凤新,1,3
1814,黄柏钧,1,3
1815,赖雅妍,1,3
1816,高丽红,1,3
1817,严艺文,1,3
1818,蔡武雄,1,3
1819,奥黛丽·塔图,2,3
1820,马修·卡索维茨,2,3
1821,吕菲斯,1,3
1822,洛莱拉·克拉沃塔,1,3
1823,塞尔日·梅兰,1,3
1824,贾梅尔·杜布兹,1,3
