,Actor,Count,Rank
200,边熙峰,1,3
201,高雅星,2,3
202,约翰尼·德普,11,2
203,杰弗里·拉什,7,3
204,奥兰多·布鲁姆,10,3
205,凯拉·奈特莉,9,3
206,杰克·达文波特,4,3
207,乔纳森·普雷斯,2,3
208,刘德华,14,2
209,刘青云,4,3
210,蒙嘉慧,1,3
211,李子雄,4,3
212,许绍雄,2,3
213,林雪,9,3
214,黄卓玲,1,3
215,林伟健,1,3
216,罗永昌,1,3
217,让-马克·巴尔,1,3
218,让·雷诺,4,3
219,罗姗娜·阿奎特,2,3
220,汤唯,5,3
221,吴秀波,2,3
222,海清,3,3
223,宋美曼,1,3
224,宋美慧,1,3
225,金燕玲,3,3
226,买红妹,1,3
227,布拉德·哈德,1,3
228,李绮虹,1,3
229,哈维尔·巴登,2,3
230,布伦顿·思韦茨,1,3
231,卡雅·斯考达里奥,2,3
232,凯文·麦克纳利,3,3
233,格什菲·法拉哈尼,1,3
234,斯蒂芬·格拉汉姆,2,3
235,大卫·文翰,2,3
236,保罗·麦卡特尼,1,3
237,马丁·科勒巴,1,3
238,亚当·布朗,2,3
239,丹尼·基兰,1,3
240,马赫什·扎杜,1,3
241,胡安·卡洛斯·凡希多,1,3
242,金秀贤,2,3
243,全智贤,3,3
244,朴海镇,1,3
245,刘仁娜,1,3
246,吴尚镇,1,3
247,安宰贤,1,3
248,申成禄,1,3
249,詹妮弗·安妮斯顿,3,3
250,柯特妮·考克斯,1,3
251,丽莎·库卓,2,3
252,马特·勒布朗,1,3
253,马修·派瑞,2,3
254,大卫·休默,3,3
255,詹姆斯·迈克尔·泰勒,1,3
256,田中真弓,1,3
257,横泽启子,1,3
258,初井言荣,1,3
259,寺田农,1,3
260,常田富士男,1,3
261,永井一郎,2,3
262,糸博,1,3
263,鹫尾真知子,1,3
264,神山卓三,1,3
265,安原义人,1,3
266,槐柳二,1,3
267,鳕子,2,3
268,周星驰,14,2
269,吴孟达,10,3
270,梁咏琪,1,3
271,孙佳君,2,3
272,徐锦江,5,3
273,黄一飞,4,3
274,江欣燕,2,3
275,朱咪咪,3,3
276,李健仁,5,3
277,郑祖,1,3
278,乔什·加德,5,3
279,布丽特·罗伯森,1,3
280,丹尼斯·奎德,2,3
281,佩吉·利普顿,1,3
282,K·J·阿帕,1,3
283,布莱斯·吉扎尔,1,3
284,朱丽叶·赖伦斯,1,3
285,卢克·科比,1,3
286,加布里埃尔·罗斯,1,3
287,迈克尔·博夫舍维尔,1,3
288,洛根·米勒,1,3
289,柯比·豪厄-尔巴普蒂斯特,1,3
290,普奇·豪尔,1,3
291,约翰·奥提兹,2,3
292,妮科尔·勒普拉卡,1,3
293,彼特·科拉米斯,1,3
294,卡罗琳·凯芙,1,3
295,简·迈克格雷格,1,3
296,科维西·阿梅扬,1,3
297,卡琳·博姆拜克,1,3
298,娜奥米·弗伦内特,1,3
299,葛优,13,2
300,关之琳,1,3
301,英达,5,3
302,保罗·马祖斯基,1,3
303,唐纳德·萨瑟兰,4,3
304,李成儒,2,3
305,张涵予,13,2
306,傅彪,3,3
307,刘仪伟,3,3
308,克里斯托弗·巴登,1,3
309,何平,1,3
310,牛飘,1,3
311,杜宝宝,1,3
312,李晓耕,1,3
313,许晓力,1,3
314,叶宏,1,3
315,袁德旺,1,3
316,张晞临,1,3
317,杨欣,2,3
318,吉米,1,3
319,吉姆·帕森斯,1,3
320,约翰尼·盖尔克奇,3,3
321,凯莉·库柯,1,3
322,西蒙·赫尔伯格,1,3
323,昆瑙·内亚,1,3
324,莎拉·吉尔伯特,1,3
325,克里斯汀·芭伦斯基,1,3
326,凯文·苏斯曼,2,3
327,乔迪·琳·欧基菲,2,3
328,凯缇·萨克霍夫,1,3
329,詹姆斯·洪,4,3
330,马克·哈雷利克,1,3
331,安妮·海瑟薇,11,2
332,梅丽尔·斯特里普,1,3
333,艾米莉·布朗特,3,3
334,斯坦利·图齐,7,3
335,西蒙·贝克,1,3
336,艾德里安·格尼尔,1,3
337,吉赛尔·邦辰,1,3
338,弗朗索瓦·克鲁塞,1,3
339,奥玛·希,3,3
340,安娜·勒尼,1,3
341,奥德雷·弗勒罗,1,3
342,托马·索利韦尔,1,3
343,尼古拉斯·凯奇,7,3
344,瑞恩·雷诺兹,4,3
345,艾玛·斯通,5,3
346,凯瑟琳·基纳,3,3
347,克拉克·杜克,2,3
348,克劳斯·利特曼,1,3
349,克里斯·桑德斯,1,3
350,兰迪·汤姆,1,3
351,杰克·吉伦哈尔,4,3
352,维拉·法米加,4,3
353,米歇尔·莫纳汉,3,3
354,杰弗里·怀特,2,3
355,拉塞尔·皮特斯,1,3
356,詹姆斯·A·伍兹,1,3
357,迈克尔·阿登,1,3
358,乔·柯布登,3,3
359,卡斯·安瓦尔,2,3
360,邓超,10,3
361,罗志祥,2,3
362,张雨绮,4,3
363,林允,2,3
364,徐克,4,3
365,吴亦凡,3,3
366,李尚正,2,3
367,卢正雨,2,3
368,白客,2,3
369,孔连顺,2,3
370,田启文,6,3
371,文章,4,3
372,杨能,1,3
373,张美娥,3,3
374,李叶青,2,3
375,林子聪,4,3
376,冯绍峰,4,3
377,陈柏霖,6,3
378,钟汉良,3,3
379,王珞丹,3,3
380,袁泉,4,3
381,陈乔恩,2,3
382,贾樟柯,1,3
383,高华阳,2,3
384,安德鲁·加菲尔德,4,3
385,杰米·福克斯,2,3
386,戴恩·德哈恩,1,3
387,坎贝尔·斯科特,2,3
388,艾伯丝·戴维兹,3,3
389,保罗·吉亚玛提,3,3
390,莎莉·菲尔德,3,3
391,克里斯·泽尔卡,1,3
392,丹尼斯·利瑞,5,3
393,弗兰克·迪尔,1,3
394,马尔顿·索克斯,3,3
395,麦克斯·查尔斯,1,3
396,菲丽希缇·琼斯,1,3
397,克里斯·奥唐纳,1,3
398,詹姆斯·瑞布霍恩,3,3
399,加布里埃尔·安瓦尔,1,3
400,菲利普·塞默·霍夫曼,4,3
401,RichardVenture,1,3
402,布莱德利·惠特福德,1,3
403,RochelleOliver,1,3
404,MargaretEginton,1,3
405,TomRiisFarrell,2,3
406,NicholasSadler,1,3
407,托德·路易斯,1,3
408,MattSmith,1,3
409,吉恩·坎菲尔德,1,3
410,弗兰西丝·康罗伊,2,3
411,莫妮卡·贝鲁奇,3,3
412,朱塞佩·苏尔法罗,1,3
413,LucianoFederico,1,3
414,MatildePiana,1,3
415,埃丽萨·莫鲁奇,1,3
416,史蒂夫·卡瑞尔,5,3
417,杰森·席格尔,1,3
418,拉塞尔·布兰德,2,3
419,朱莉·安德鲁斯,3,3
420,威尔·阿奈特,2,3
421,克里斯汀·韦格,7,3
422,米兰达·卡斯格拉夫,2,3
423,达纳·盖尔,2,3
424,艾尔西·费舍尔,2,3
425,皮埃尔·科凡,3,3
426,克里斯·雷纳德,2,3
427,杰梅奈·克莱门特,2,3
428,杰克·麦克布瑞尔,1,3
429,丹尼·麦克布莱德,2,3
430,敏迪·卡灵,2,3
431,罗布·许贝尔,1,3
432,肯·道里欧,1,3
433,郑肯,4,3
434,白百何,7,3
435,张嘉译,4,3
436,王耀庆,2,3
437,张子萱,3,3
438,郭京飞,2,3
439,曹翠芬,1,3
440,魏宗万,1,3
441,廖凡,7,3
442,徐梵溪,1,3
443,李念,1,3
