type,status,isSend,content,content2,talkerId
1,2,1,@我是如此想小心?,,1569
1,2,1,切尔西很稳,,1569
1,3,0,kuaful,@我爱周星驰?你枪呢？,1569
3,2,1,,,1569
49,2,1,"<msg><appmsgappid=""wxd5b252a1660012b4""sdkver=""0""><title>我用滴滴叫出租，一键叫车，送你券，为随时随地接驾买单</title><des>国内最大智能出行平台，告别路边等车，随时随地出发，领券还能省不少钱！</des><username></username><action>view</action><type>5</type><showtype>0</showtype><content></content><url>http",//pay.xiaojukeji.com/veyron/market_entry/hbrob/gethongbao?id=6dc8855c60d72b2fcfb25c08ee0ec861&amp;sign=05f0dec00d23a8ed10a8d1fcc9277d2f&amp;lang=zh-CN</url><lowurl></lowurl><dataurl></dataurl><lowdataurl></lowdataurl><contentattr>0</contentattr><streamvideo><streamvideourl></streamvideourl><streamvideototaltime>0</streamvideototaltime><streamvideotitle></streamvideotitle><streamvideowording></streamvideowording><streamvideoweburl></streamvideoweburl><streamvideothumburl></streamvideothumburl><streamvideoaduxinfo></streamvideoaduxinfo><streamvideopublishid></streamvideopublishid></streamvideo><canvasPageItem><canvasPageXml><![CDATA[]]></canvasPageXml></canvasPageItem><appattach><totallen>0</totallen><attachid></attachid><cdnattachurl></cdnattachurl><emoticonmd5></emoticonmd5><aeskey></aeskey><fileext></fileext><islargefilemsg>0</islargefilemsg></appattach><extinfo></extinfo><androidsource>2</androidsource><thumburl></thumburl><mediatagname></mediatagname><messageaction><![CDATA[]]></messageaction><messageext><![CDATA[]]></messageext><emoticongift><packageflag>0</packageflag><packageid></packageid></emoticongift><emoticonshared><packageflag>0</packageflag><packageid></packageid></emoticonshared><designershared><designeruin>0</designeruin><designername>null</designername><designerrediretcturl>null</designerrediretcturl></designershared><emotionpageshared><tid>0</tid><title>null</title><desc>null</desc><iconUrl>null</iconUrl><secondUrl>null</secondUrl><pageType>0</pageType></emotionpageshared><webviewshared><shareUrlOriginal></shareUrlOriginal><shareUrlOpen></shareUrlOpen><jsAppId></jsAppId><publisherId></publisherId></webviewshared><template_id></template_id><md5></md5><weappinfo><username></username><appid></appid></weappinfo><statextstr>GhQKEnd4ZDViMjUyYTE2NjAwMTJiNA==</statextstr></appmsg></msg>,1569
3,3,0,kuaful,,1569
1,3,0,kuaful,@我爱周星驰?有这个人吗,1569
1,2,1,发个包,,1569
1,2,1,答案已经出来了,,1569
1,3,0,q32444005,贵巴太乱,1569
436207665,3,0,kuaful,,1569
1,3,0,kuaful,@我要去西藏?浪。你是柯南啊？,1569
1,3,0,q32444005,还把你,1569
436207665,3,0,q32444005,,1569
